#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	X319146421_RNAlater	X317822438_RNAlater	X317802115_Whole	X317690558_ETOH	X316701492_RNAlater	X316192082_RNAlater	X311245214_RNAlater	X310763260_Whole	R0259-TSC-DNA	R0258-LYW-DNA	R0245-CYY-DNA	R0244-CKL-DNA	R0240-CKW-DNA	R0232-CHC-DNA	R0229-HHW-DNA	R0221-WKY-DNA	R0217-TYM-DNA	R0201-YMY-DNA	ARG046-00ST-01-DNA	ARG044-01ST-01-DNA	ARG041-00ST-01-DNA	ARG034-00ST-01-DNA	ARG028-00ST-01-DNA	ARG025-01ST-01-DNA	ARG023-01ST-01-DNA	ARG021-01ST-01-DNA	ARG019-01ST-01-DNA	ARG010-02ST-01-DNA
k__Archaea	2157	0.1719	0	0	0.70766	0.07747	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0.1719	0	0	0.70766	0.07747	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.1719	0	0	0.70766	0.07198	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.1719	0	0	0.70766	0.07198	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.1719	0	0	0.70766	0.07198	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0.15396	0	0	0.70766	0.07198	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0.15396	0	0	0.70766	0.07198	0.11578	0.15749	0	0	0.02442	0	0	0	0	0	0.06652	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0.01794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0.01794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	2157|28890|183967	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|28890|183967|1235850	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	2157|28890|183967|1235850|1577788	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	2157|28890|183967|1235850|1577788|1080709	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	2157|28890|183967|1235850|1577788|1080709|1406512	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	99.8281	100.0	100.0	99.29234	99.92253	99.88422	99.84251	100.0	100.0	99.97558	100.0	100.0	100.0	100.0	100.0	99.93348	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	2|201174	1.0447	3.73814	1.49302	5.1395	1.53936	9.5085	0.82817	4.75013	22.40373	18.13899	10.09047	14.42201	29.50913	6.29232	1.67217	28.01341	33.15269	7.7641	0.95532	1.23728	4.37648	0.8105	12.82902	0.26773	0.03368	0.09221	1.59982	0.47194
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.44986	0	0.22227	3.38271	0	8.12767	0.15013	0.12618	18.09438	11.42466	2.03977	7.07563	18.7225	1.57466	0.08881	25.93909	27.16958	0	0.6656	0.38636	3.09594	0.39311	7.96251	0.19424	0.02789	0	0.96674	0.3321
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0	0	0.00768	0	0	0	0	0.01294	0.07348	0.01637	0	0.00164	0.00583	0.00046	0.00509	0.0727	0	0	0	0.01314	0	0	0.01812	0	0	0.01306	0.09144
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0	0.00768	0	0	0	0	0.01294	0.07348	0.01637	0	0.00164	0.00583	0.00046	0.00509	0.0727	0	0	0	0.01314	0	0	0.01812	0	0	0.01306	0.09144
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	0.00753	0	0	0	0	0	0	0.02451	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	0.00753	0	0	0	0	0	0	0.02451	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0.00768	0	0	0	0	0.01294	0.06595	0.01637	0	0.00164	0.00583	0.00046	0.00509	0.04819	0	0	0	0.01314	0	0	0.01812	0	0	0.01306	0.09144
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	2|201174|1760|2037|2049|1654|181487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0	0	0.00034	0.01964	0	0	0	0.00048	0	0	0.02267	0	0	0	0.00945	0	0	0	0	0	0.01172	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0	0	0	0	0.01637	0	0	0.00128	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0.0011	0	0	0	0	0.01259	0.01733	0	0	0	0.00183	0	0.00509	0.01587	0	0	0	0.00369	0	0	0.0011	0	0	0.00134	0.00307
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0	0	0	0	0	0	0.01483	0	0	0	0.00225	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0	0	0	0	0	0.01415	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0.02211
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0	0.00658	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0.01073	0	0	0	0.06063
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	2|201174|1760|2037|2049|1654|1284680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00574	0	0	0	0.00154
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	2|201174|1760|2037|2049|1654|712121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	2|201174|1760|2037|2049|1654|131111	0	0	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.44986	0	0.22227	3.37503	0	8.12767	0.15013	0.07245	18.07237	11.35118	2.01511	7.07563	18.72086	1.56883	0.08835	25.92117	27.06643	0	0.6656	0.38636	3.07321	0.39023	7.95045	0.17613	0.02789	0	0.91371	0.23346
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.44986	0	0.22227	3.37503	0	8.12767	0.15013	0.07245	18.07237	11.35118	2.01511	7.07563	18.72086	1.56883	0.08835	25.92117	27.06643	0	0.6656	0.38636	3.07321	0.39023	7.95045	0.17613	0.02789	0	0.91371	0.23346
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	2|201174|1760|85004|31953|240233	0	0	0	0.00417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
