#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	CD99	CD98	CD97	CD96	CD95	CD94	CD93	CD92	CD91	CD100
k__Archaea	2157	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	1.99442	4.14785	0	0
k__Bacteria	2	100.0	100.0	100.0	100.0	100.0	100.0	98.00558	95.85215	100.0	100.0
k__Bacteria|p__Actinobacteria	2|201174	1.21773	0.04435	0.03563	4.09174	14.17327	10.50506	10.40249	2.61942	14.5428	2.91851
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.15186	0.0295	0.02383	2.40363	10.91676	8.50849	3.54734	0.54631	2.6897	2.91576
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.03363	0.0295	0	0.00513	0.02003	0.02579	0.00586	0.00661	0.18015	0.11631
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.03363	0.0295	0	0.00513	0.02003	0.02579	0.00586	0.00661	0.18015	0.11631
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0.00362	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0.00362	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.03363	0.0295	0	0.00513	0.02003	0.02217	0.00586	0.00661	0.18015	0.11631
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0.00988	0.02417	0	0.00187	0.00069	0	0	0	0	0.00135
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0.00476	0.0018	0	0	0	0.00195
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0.00765	0.00533	0	0.00063	0.00328	0.0037	0	0	0.00333	0.00427
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0.00106	0	0	0	0	0.00721	0.00146	0.00661	0.04627	0.05276
