,SRR18490957,SRR18490958,SRR18490959,SRR18490960,SRR18490961,SRR18490962,SRR18490963,SRR18490964,SRR18490965,SRR18490966
821,44230.0,77198.0,67358.0,126746.0,25366.0,23957.0,254304.0,17059.0,16778.0,2412.0
820,8651.0,2643.0,95381.0,200261.0,108572.0,9059.0,71435.0,6784.0,4669.0,3526.0
853,21185.0,57086.0,54054.0,45296.0,25184.0,53955.0,21461.0,68359.0,29923.0,31240.0
357276,286938.0,39018.0,4089.0,12247.0,38584.0,3208.0,7479.0,1342.0,920.0,428.0
817,44198.0,45418.0,9706.0,51086.0,36859.0,17972.0,25661.0,69367.0,9616.0,1380.0
28116,47401.0,8978.0,32930.0,16790.0,13398.0,7735.0,154441.0,6625.0,5278.0,859.0
39491,3490.0,12271.0,152838.0,2066.0,25744.0,4423.0,5333.0,35431.0,8809.0,22667.0
562,2104.0,1709.0,455.0,193042.0,12569.0,13242.0,301.0,8763.0,2174.0,2011.0
166486,2621.0,13603.0,11551.0,10432.0,10098.0,31945.0,66297.0,12247.0,10663.0,11361.0
2479767,3859.0,18584.0,9145.0,5582.0,15822.0,32801.0,6853.0,19526.0,11742.0,48963.0
2528203,14266.0,2524.0,10379.0,51151.0,19487.0,5348.0,24490.0,2168.0,1141.0,824.0
573,3164.0,63.0,102.0,635.0,232.0,3833.0,2905.0,2715.0,102762.0,198.0
39488,4578.0,3426.0,7588.0,870.0,19874.0,18685.0,8950.0,8205.0,6846.0,24086.0
818,5598.0,13997.0,6044.0,18378.0,11834.0,4565.0,18264.0,6594.0,10634.0,987.0
823,15085.0,29567.0,4173.0,9311.0,4987.0,3517.0,9209.0,7862.0,11638.0,565.0
371601,8430.0,3988.0,11192.0,11755.0,4066.0,2984.0,39001.0,3052.0,4332.0,354.0
47678,4566.0,1180.0,3117.0,16840.0,7435.0,3072.0,37029.0,3606.0,10361.0,434.0
376805,2643.0,680.0,1518.0,25207.0,30965.0,6876.0,5789.0,4633.0,1885.0,214.0
2109691,1181.0,4791.0,4542.0,1749.0,9010.0,14499.0,8043.0,6464.0,18814.0,9567.0
328814,755.0,1129.0,9364.0,2767.0,13416.0,19712.0,3770.0,10172.0,10642.0,328.0
2109690,2120.0,4868.0,5413.0,1238.0,4618.0,7300.0,2701.0,7716.0,6453.0,25549.0
1496,588.0,2946.0,2463.0,1283.0,2506.0,5125.0,1532.0,8098.0,7938.0,34006.0
301301,1392.0,7411.0,9850.0,1762.0,7325.0,7309.0,1755.0,8434.0,10805.0,8267.0
649756,4293.0,9770.0,2872.0,1333.0,8705.0,8318.0,3333.0,6362.0,4150.0,14981.0
74426,51.0,116.0,126.0,51.0,175.0,7401.0,1135.0,16265.0,4158.0,27704.0
454155,7603.0,1956.0,6033.0,6491.0,8854.0,2494.0,16563.0,2050.0,1563.0,264.0
2093856,3574.0,2537.0,3020.0,2961.0,10333.0,7637.0,2731.0,8206.0,12262.0,225.0
290053,14686.0,2602.0,325.0,17339.0,8322.0,6159.0,413.0,1463.0,848.0,222.0
214856,981.0,1602.0,7593.0,6231.0,12042.0,5157.0,5773.0,4007.0,4001.0,302.0
28118,1120.0,201.0,6327.0,8227.0,5660.0,4390.0,1467.0,9454.0,9200.0,253.0
216816,5149.0,28626.0,136.0,715.0,534.0,2768.0,844.0,3449.0,661.0,475.0
39485,843.0,4767.0,2875.0,677.0,2726.0,4187.0,2453.0,4359.0,14921.0,3879.0
1502,112.0,284.0,223.0,124.0,426.0,683.0,254.0,1097.0,733.0,37171.0
329854,6833.0,1533.0,4921.0,10922.0,7546.0,3746.0,966.0,2176.0,2157.0,232.0
1322,822.0,2790.0,3391.0,944.0,2676.0,3948.0,1311.0,3402.0,2554.0,18312.0
246787,6974.0,2763.0,925.0,10293.0,6439.0,4507.0,1645.0,3209.0,1400.0,205.0
2585117,114.0,7301.0,1597.0,601.0,6629.0,8493.0,618.0,1696.0,10128.0,497.0
28026,16314.0,8080.0,65.0,14.0,5495.0,389.0,2829.0,229.0,250.0,159.0
1912897,670.0,2415.0,1100.0,702.0,1736.0,2282.0,1314.0,2402.0,1945.0,17704.0
1160721,76.0,1951.0,11543.0,261.0,1974.0,1699.0,120.0,3689.0,2139.0,8794.0
2564099,157.0,2495.0,2458.0,86.0,3120.0,2523.0,74.0,1032.0,1752.0,18151.0
29347,1613.0,2465.0,845.0,1831.0,1349.0,3377.0,887.0,3540.0,2264.0,13413.0
1796613,2067.0,1255.0,1523.0,5680.0,4885.0,2448.0,9384.0,2286.0,1549.0,156.0
1624,334.0,116.0,62.0,45.0,122.0,123.0,220.0,213.0,198.0,26914.0
2109688,199.0,1346.0,1336.0,566.0,1980.0,4511.0,800.0,6934.0,7742.0,2554.0
446660,10.0,37.0,30.0,621.0,11055.0,6036.0,51.0,3473.0,2374.0,2501.0
28113,5927.0,962.0,324.0,8910.0,4809.0,3071.0,337.0,1052.0,644.0,83.0
1680,369.0,246.0,104.0,30.0,157.0,18792.0,691.0,3854.0,783.0,1061.0
2585119,1270.0,911.0,3313.0,3816.0,4925.0,4734.0,3930.0,803.0,1700.0,183.0
1352,111.0,528.0,302.0,256.0,6756.0,11107.0,249.0,3428.0,445.0,1492.0
208479,237.0,4921.0,779.0,4923.0,788.0,1198.0,3637.0,3732.0,1350.0,1863.0
2161821,9.0,667.0,28.0,13336.0,72.0,89.0,1015.0,3826.0,3255.0,126.0
239935,37.0,51.0,38.0,140.0,142.0,214.0,143.0,205.0,19936.0,413.0
1871021,574.0,1387.0,2424.0,421.0,961.0,1786.0,673.0,2168.0,2099.0,8049.0
