,SRR15489016,SRR15489009,SRR15489020,SRR15489011,SRR15489018,SRR15489014
853,78114.0,141218.0,116948.0,74943.0,214014.0,62121.0
39491,38165.0,46059.0,174833.0,33289.0,152854.0,233012.0
2479767,110938.0,58633.0,76512.0,80774.0,128357.0,213184.0
166486,20951.0,39469.0,27367.0,53637.0,61420.0,34498.0
39488,28413.0,26765.0,37068.0,20978.0,20747.0,77863.0
649756,20565.0,20317.0,17352.0,32809.0,37468.0,40419.0
216816,75428.0,19888.0,14902.0,4760.0,11094.0,39532.0
74426,67665.0,17124.0,17865.0,11305.0,22163.0,60.0
2109690,14695.0,10183.0,29913.0,16019.0,23076.0,22530.0
1322,11179.0,5803.0,24286.0,7590.0,11356.0,43273.0
2109691,10279.0,13927.0,9940.0,27462.0,25827.0,11214.0
301301,9694.0,10733.0,9062.0,17577.0,31659.0,11699.0
1680,390.0,16273.0,18487.0,13583.0,32949.0,63.0
821,777.0,34982.0,5222.0,3200.0,27262.0,1286.0
158847,23.0,18.0,70842.0,33.0,67.0,73.0
1912897,9156.0,5316.0,10294.0,8161.0,13398.0,11869.0
29347,5386.0,4726.0,11006.0,7253.0,9064.0,19765.0
33035,8204.0,5190.0,7271.0,6333.0,10186.0,12526.0
2109692,9059.0,1332.0,13149.0,3815.0,5014.0,13600.0
1496,8902.0,7373.0,6589.0,5851.0,6655.0,10415.0
562,2774.0,217.0,27418.0,90.0,188.0,7357.0
817,2100.0,17664.0,1733.0,3122.0,11005.0,1999.0
2161821,444.0,2765.0,6645.0,57.0,22554.0,1421.0
820,466.0,4767.0,3073.0,853.0,23635.0,404.0
39485,1946.0,3156.0,3647.0,4517.0,15757.0,3589.0
1160721,752.0,9828.0,4223.0,4451.0,7482.0,4646.0
2564099,158.0,3661.0,10541.0,3854.0,7702.0,5226.0
28116,330.0,9259.0,5592.0,3119.0,9575.0,2087.0
1871021,3333.0,3296.0,5302.0,3921.0,6342.0,5105.0
208479,1999.0,2971.0,2581.0,2253.0,4794.0,10915.0
1834196,2566.0,2557.0,2999.0,2302.0,4568.0,8811.0
371601,668.0,15021.0,1328.0,2133.0,3071.0,247.0
823,101.0,15662.0,576.0,1038.0,4835.0,93.0
2086584,3535.0,2982.0,2076.0,2120.0,3182.0,7431.0
2109688,1216.0,5824.0,3079.0,3385.0,4862.0,2695.0
187327,57.0,147.0,16667.0,84.0,181.0,3539.0
290053,11.0,6981.0,146.0,557.0,11962.0,45.0
47678,32.0,14947.0,1386.0,439.0,2822.0,16.0
2594789,2733.0,1880.0,3385.0,2519.0,3580.0,3696.0
39483,2449.0,2793.0,2741.0,4998.0,3168.0,1520.0
1550024,805.0,4122.0,2227.0,1869.0,3554.0,3589.0
84112,3808.0,833.0,2825.0,865.0,885.0,6873.0
2528203,129.0,4065.0,570.0,473.0,10482.0,91.0
1161942,171.0,3540.0,1573.0,2045.0,7712.0,230.0
818,207.0,2490.0,1571.0,5355.0,5397.0,91.0
239935,16.0,14064.0,78.0,154.0,407.0,108.0
28026,118.0,9796.0,3195.0,341.0,854.0,39.0
328814,56.0,2875.0,100.0,1320.0,9923.0,7.0
1686,171.0,831.0,307.0,173.0,11992.0,94.0
2093857,1196.0,4968.0,1015.0,1889.0,3818.0,580.0
839,23.0,20.0,30.0,11232.0,1612.0,15.0
28118,37.0,3130.0,76.0,1210.0,8349.0,54.0
29370,1700.0,1254.0,1508.0,1916.0,3341.0,2213.0
1042156,1622.0,1176.0,3218.0,1851.0,2224.0,1165.0
1304,577.0,139.0,117.0,4923.0,4760.0,218.0
1509,1246.0,1022.0,2415.0,1198.0,2442.0,1631.0
292800,465.0,3451.0,1525.0,1343.0,1793.0,1342.0
2585756,51.0,6834.0,23.0,394.0,2506.0,12.0
626937,1044.0,908.0,2716.0,1423.0,2830.0,747.0
84030,1209.0,1246.0,1092.0,1237.0,2619.0,2136.0
831,778.0,1126.0,1755.0,1491.0,2487.0,1849.0
357276,77.0,2226.0,2014.0,517.0,4319.0,289.0
2585117,22.0,5673.0,2587.0,440.0,713.0,0.0
446660,43.0,8132.0,223.0,424.0,445.0,41.0
1683,79.0,160.0,86.0,8709.0,183.0,6.0
246787,22.0,2845.0,122.0,1130.0,4989.0,38.0
214856,131.0,3021.0,156.0,228.0,5494.0,8.0
2584943,1582.0,792.0,1476.0,928.0,1270.0,2810.0
154046,916.0,1394.0,1141.0,1275.0,2086.0,1927.0
1491,980.0,681.0,1327.0,2241.0,1950.0,1545.0
52227,7.0,13.0,31.0,3051.0,5532.0,2.0
43305,791.0,1152.0,858.0,1253.0,3293.0,1186.0
29322,1357.0,973.0,1139.0,1294.0,2596.0,1104.0
351091,101.0,2981.0,617.0,1869.0,2258.0,408.0
1681,91.0,224.0,599.0,164.0,6654.0,470.0
329854,36.0,2459.0,130.0,624.0,4898.0,54.0
185008,865.0,1185.0,1620.0,1102.0,2262.0,908.0
28113,8.0,2176.0,90.0,1295.0,3752.0,22.0
1502,1224.0,676.0,2311.0,1564.0,951.0,534.0
907,248.0,230.0,5980.0,233.0,481.0,85.0
1264,116.0,1402.0,911.0,1023.0,2877.0,667.0
66219,609.0,815.0,1505.0,768.0,1925.0,929.0
1352,967.0,1150.0,1210.0,1075.0,933.0,1021.0
28129,10.0,135.0,17.0,3146.0,3001.0,2.0
1505,2408.0,463.0,580.0,1353.0,824.0,618.0
2585119,92.0,2015.0,35.0,96.0,3979.0,0.0
28131,5.0,143.0,81.0,3755.0,2218.0,13.0
1229621,604.0,757.0,904.0,843.0,1723.0,991.0
2364787,39.0,1118.0,49.0,1941.0,2593.0,0.0
1796613,107.0,2107.0,316.0,527.0,2070.0,124.0
2093856,45.0,929.0,69.0,1894.0,2203.0,24.0
1981510,225.0,961.0,770.0,583.0,1417.0,1174.0
2585118,18.0,1928.0,19.0,263.0,2569.0,0.0
28135,0.0,11.0,9.0,3657.0,1071.0,4.0
1685,977.0,494.0,659.0,334.0,910.0,1368.0
28119,3.0,1401.0,52.0,565.0,2460.0,17.0
454155,15.0,1075.0,71.0,1089.0,2152.0,31.0
1712675,1504.0,173.0,1233.0,1041.0,364.0,114.0
617123,470.0,597.0,787.0,656.0,1282.0,537.0
28132,5.0,6.0,16.0,3478.0,527.0,2.0
2507162,204.0,1353.0,806.0,323.0,1084.0,222.0
1492,469.0,252.0,840.0,1219.0,751.0,247.0
376805,12.0,895.0,101.0,1335.0,1375.0,18.0
39778,74.0,44.0,194.0,898.0,1944.0,167.0
2109687,138.0,1252.0,381.0,493.0,909.0,85.0
712991,141.0,534.0,330.0,159.0,480.0,1548.0
1736,318.0,642.0,418.0,454.0,561.0,760.0
2487118,227.0,226.0,181.0,452.0,1487.0,556.0
1396,362.0,276.0,431.0,314.0,502.0,1185.0
1297617,338.0,680.0,434.0,387.0,922.0,273.0
2086585,50.0,583.0,805.0,547.0,849.0,192.0
589436,11.0,15.0,9.0,2418.0,498.0,17.0
197614,334.0,254.0,495.0,305.0,628.0,831.0
1572656,100.0,683.0,538.0,249.0,991.0,148.0
1520,263.0,161.0,611.0,445.0,700.0,404.0
253239,57.0,602.0,553.0,286.0,821.0,210.0
86661,216.0,330.0,277.0,470.0,885.0,291.0
1561,550.0,149.0,354.0,843.0,432.0,112.0
1308,1117.0,170.0,104.0,204.0,596.0,146.0
1841863,106.0,391.0,452.0,769.0,540.0,55.0
36745,249.0,218.0,481.0,579.0,523.0,225.0
1623,130.0,407.0,466.0,374.0,808.0,41.0
